,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
216,CK110,World Languages,University College Cork (NUI),488,,,,
217,CK111,Early Years and Childhood Studies,University College Cork (NUI),409,403,,,
218,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),371,,,,
219,CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),464,463,,,
220,CK114,Social Science (Youth and Community Work),University College Cork (NUI),,,,,
221,CK115,Social Work - Mature Applicants only,University College Cork (NUI),,,,,
222,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),347,339,,,
223,CK120,Applied Psychology,University College Cork (NUI),544,543,,,
224,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),499,488,,,
225,CK122,Government and Political Science,University College Cork (NUI),399,,,,
226,CK123,Anthropology,University College Cork (NUI),308,,,,
227,CK124,Education - Gaeilge,University College Cork (NUI),473,,,,
228,CK125,Sports Studies and Physical Education,University College Cork (NUI),564,555,,,
229,CK201,Commerce,University College Cork (NUI),500,499,,,
230,CK202,Accounting,University College Cork (NUI),553,543,,,
231,CK203,Business Information Systems,University College Cork (NUI),455,452,,,
232,CK204,Finance,University College Cork (NUI),566,566,,,
233,CK205,Commerce (International) with French,University College Cork (NUI),465,,,,
234,CK206,Commerce (International) with German,University College Cork (NUI),466,455,,,
235,CK207,Commerce (International) with Italian,University College Cork (NUI),423,418,,,
236,CK208,Commerce (International) with Hispanic Studies,University College Cork (NUI),488,486,,,
237,CK209,Commerce (International) with Irish,University College Cork (NUI),507,,,,
238,CK211,Commerce (International) with Chinese Studies,University College Cork (NUI),385,,,,
239,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,University College Cork (NUI),445,444,,,
240,CK213,Food Marketing and Entrepreneurship,University College Cork (NUI),466,,,,
241,CK214,International Development,University College Cork (NUI),332,,,,
242,CK301,Law (Pathways) -  3 or 4 years,University College Cork (NUI),533,532,,,
243,CK302,Law and French,University College Cork (NUI),545,,,,
244,CK304,Law and Irish,University College Cork (NUI),588,,,,
245,CK307,Law and Business,University College Cork (NUI),589,589,,,
246,CK401,Computer Science,University College Cork (NUI),503,495,,,
247,CK402,Biological and Chemical Sciences,University College Cork (NUI),555,555,,,
248,CK404,"Biological, Earth and Environmental Sciences",University College Cork (NUI),500,495,,,
249,CK405,Genetics,University College Cork (NUI),543,,,,
250,CK406,Chemical Sciences,University College Cork (NUI),532,,,,
251,CK407,Mathematical Sciences,University College Cork (NUI),566,,,,
252,CK408,Physics and Astrophysics,University College Cork (NUI),566,,,,
253,CK409,Industrial Physics - Offered jointly by UCC and CIT,University College Cork (NUI),465,,,,
254,CK411,Data Science and Analytics,University College Cork (NUI),531,,,,
255,CK412,Agricultural Science,University College Cork (NUI),506,,,,
256,CK504,Nutritional Sciences,University College Cork (NUI),555,554,,,
257,CK505,Food Science,University College Cork (NUI),463,,,,
258,CK600,Engineering,University College Cork (NUI),510,509,,,
259,CK606,Architecture - Offered jointly by UCC and CIT,University College Cork (NUI),543,,,,
260,CK701,Medicine (Undergraduate Entry - HPAT required),University College Cork (NUI),738,737,,,
261,CK702,Dentistry,University College Cork (NUI),625,625,,,
262,CK703,Pharmacy,University College Cork (NUI),613,613,,,
263,CK704,Occupational Therapy,University College Cork (NUI),601,,,,
264,CK705,Speech and Language Therapy,University College Cork (NUI),568,566,,,
265,CK706,Public Health Sciences,University College Cork (NUI),500,,,,
266,CK707,Medical and Health Sciences,University College Cork (NUI),578,,,,
267,CK710,General Nursing,University College Cork (NUI),498,497,,,
268,CK712,Children`s and General Nursing (Integrated),University College Cork (NUI),565,,,,
