code,course,HEI,R1 Points 2021,R2 Points 2021,EOS Points 2021,R1 Points 2020,R2 Points 2020,EOS Points 2020,R1 Points 2019
DL836,Creative Computing,"Dun Laoghaire Institute of Art, Design and Technology",235.0,,235.0,219.0,,219.0,217.0
DL837,New Media Studies,"Dun Laoghaire Institute of Art, Design and Technology",298.0,293.0,293.0,201.0,,201.0,290.0
DL838,Creative Music Production,"Dun Laoghaire Institute of Art, Design and Technology",713.0,,713.0,754.0,,754.0,746.0
DL839,Interaction and User Experience Design,"Dun Laoghaire Institute of Art, Design and Technology",757.0,,757.0,683.0,683.0,683.0,
DL840,Digital Marketing,"Dun Laoghaire Institute of Art, Design and Technology",210.0,,210.0,228.0,228.0,228.0,
DL841,English and Equality Studies,"Dun Laoghaire Institute of Art, Design and Technology",277.0,277.0,277.0,276.0,,276.0,
DL843,Film,"Dun Laoghaire Institute of Art, Design and Technology",987.0,874.0,874.0,,,,
DL844,Television,"Dun Laoghaire Institute of Art, Design and Technology",566.0,,566.0,,,,
DL845,Design for Film (degree options),"Dun Laoghaire Institute of Art, Design and Technology",628.0,,630.0,,,,
GC200,Business,Griffith College,269.0,242.0,242.0,252.0,252.0,252.0,269.0
GC201,Accounting and Finance,Griffith College,260.0,226.0,226.0,303.0,303.0,303.0,251.0
GC230,Computing Science,Griffith College,300.0,289.0,289.0,335.0,325.0,325.0,228.0
GC250,Communications and Media Production,Griffith College,,,,,,,
GC300,Business,Griffith College,264.0,264.0,264.0,429.0,,390.0,251.0
GC301,Accounting and Finance,Griffith College,,251.0,251.0,253.0,253.0,253.0,307.0
GC302,Business - HRM,Griffith College,377.0,377.0,329.0,,,,269.0
GC307,Business (Marketing),Griffith College,289.0,270.0,270.0,,,,
GC400,Business,Griffith College,250.0,228.0,228.0,248.0,248.0,248.0,246.0
GC401,Accounting and Finance,Griffith College,242.0,242.0,242.0,240.0,227.0,202.0,181.0
GC402,Business (HRM),Griffith College,,,,264.0,236.0,218.0,217.0
GC403,Law,Griffith College,245.0,242.0,242.0,244.0,228.0,228.0,225.0
GC407,Business (Marketing),Griffith College,264.0,264.0,176.0,280.0,280.0,218.0,246.0
GC430,Computing Science,Griffith College,251.0,251.0,251.0,252.0,220.0,220.0,217.0
GC450,Communications and Media Production,Griffith College,225.0,225.0,225.0,254.0,254.0,254.0,227.0
GC462,Design Communication (portfolio),Griffith College,300.0,,300.0,,,,
GC489,Interior Architecture (portfolio),Griffith College,288.0,274.0,274.0,254.0,,254.0,267.0
GC494,Fashion Design (portfolio),Griffith College,351.0,,309.0,337.0,217.0,217.0,
BY001,Business,IBAT College Dublin,210.0,210.0,210.0,,,,
ID001,Accounting and Finance,ICD Business School,,,,203.0,,203.0,229.0
ID002,Business Studies,ICD Business School,,,273.0,294.0,,294.0,285.0
AD101,"First Year Art and Design (Common Entry,portfolio)",National College of Art and Design,554.0,,554.0,,,,
AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,538.0,,538.0,,,,
AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,505.0,,505.0,,,,
AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,591.0,,591.0,,,,
AD204,Fine Art (portfolio),National College of Art and Design,514.0,,514.0,,,,
AD211,Fashion Design (portfolio),National College of Art and Design,760.0,679.0,679.0,,,,
AD212,Product Design (portfolio),National College of Art and Design,413.0,,413.0,,,,
AD215,Visual Culture,National College of Art and Design,337.0,300.0,300.0,377.0,320.0,320.0,300.0
AD217,Illustration (portfolio),National College of Art and Design,738.0,,738.0,,,,
AD222,Interaction Design (portfolio),National College of Art and Design,444.0,,444.0,,,,
NC003,Computing (Degree Award options),National College of Ireland (NCI),271.0,,271.0,260.0,,260.0,261.0
NC005,Human Resource Management,National College of Ireland (NCI),301.0,,301.0,300.0,,300.0,297.0
NC009,Business,National College of Ireland (NCI),300.0,,300.0,300.0,,300.0,297.0
NC010,Psychology,National College of Ireland (NCI),420.0,,420.0,400.0,,400.0,366.0
NC020,Marketing Practice,National College of Ireland (NCI),270.0,,270.0,280.0,,282.0,270.0
NC022,Accounting and Finance,National College of Ireland (NCI),330.0,,330.0,337.0,,337.0,338.0
NC023,Technology Management (with specialisations),National College of Ireland (NCI),266.0,,266.0,261.0,,261.0,260.0
NC030,Early Childhood Education and Care,National College of Ireland (NCI),251.0,251.0,251.0,,,,
RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,741.0,740.0,740.0,733.0,,733.0,729.0
RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,589.0,589.0,589.0,566.0,,566.0,532.0
RC005,Pharmacy,RCSI University of Medicine & Health Sciences,613.0,613.0,602.0,579.0,,578.0,555.0
RC101,Medicine - Graduate Entry (GAMSAT required),RCSI University of Medicine & Health Sciences,,,62.0,,,61.0,60.0
NM801,Montessori Education,St Nicholas Montessori College Ireland,262.0,,262.0,220.0,,220.0,
NM802,Psychology,St Nicholas Montessori College Ireland,228.0,,228.0,,,,
TU801,Sustainable Energy Engineering,Technological University Dublin,235.0,,235.0,235.0,,235.0,
TU802,Electrical Services and Energy Management,Technological University Dublin,309.0,,290.0,317.0,300.0,300.0,
TU804,Engineering (Common Entry with Award options),Technological University Dublin,270.0,,270.0,271.0,,271.0,
TU805,Engineering (General Entry),Technological University Dublin,466.0,465.0,465.0,402.0,,402.0,
TU807,Computer Engineering in Mobile Systems,Technological University Dublin,274.0,,274.0,276.0,,276.0,
TU810,Mechatronic Engineering,Technological University Dublin,271.0,,271.0,270.0,,271.0,
TU811,Product Design,Technological University Dublin,440.0,434.0,434.0,411.0,,411.0,
TU812,"Design,Technology and Innovation",Technological University Dublin,278.0,,278.0,270.0,,270.0,
TU814,Sustainable Transport Management,Technological University Dublin,253.0,253.0,253.0,285.0,251.0,251.0,
TU828,Mechanical Engineering (General Entry),Technological University Dublin,300.0,,300.0,,,,
TU829,Electronic Engineering (General Entry),Technological University Dublin,248.0,248.0,243.0,,,,
TU831,Architectural Technology,Technological University Dublin,423.0,,423.0,410.0,,410.0,
TU832,Architecture (Suitability Test and Interview),Technological University Dublin,644.0,638.0,638.0,622.0,,622.0,
TU833,Construction Management,Technological University Dublin,396.0,,396.0,367.0,,367.0,
TU834,Geographic Science,Technological University Dublin,315.0,,315.0,288.0,,288.0,
TU835,Planning and Environmental Management,Technological University Dublin,330.0,,330.0,313.0,,313.0,
TU836,Property Economics (Valuation Surveying),Technological University Dublin,411.0,,411.0,401.0,,401.0,
TU837,Quantity Surveying and Construction Economics,Technological University Dublin,413.0,,413.0,385.0,,385.0,
TU838,Sustainable Timber Technology,Technological University Dublin,307.0,271.0,271.0,,,,
TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",Technological University Dublin,400.0,,400.0,349.0,,349.0,
TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,477.0,,477.0,476.0,,476.0,
TU854,Science (General Entry),Technological University Dublin,510.0,,510.0,476.0,,476.0,
TU855,Science with Nanotechnology,Technological University Dublin,322.0,,322.0,331.0,319.0,319.0,
TU856,Computer Science,Technological University Dublin,499.0,,499.0,476.0,,476.0,
TU857,Computer Science (Infrastructure),Technological University Dublin,403.0,,403.0,391.0,,391.0,
TU858,Computer Science (International),Technological University Dublin,395.0,,395.0,377.0,,377.0,
TU859,Computing,Technological University Dublin,251.0,,251.0,217.0,234.0,217.0,
TU860,Computing (Information Technology),Technological University Dublin,270.0,,270.0,260.0,,260.0,
TU861,Computing with Language (French/German/Spanish),Technological University Dublin,235.0,235.0,235.0,308.0,308.0,308.0,
TU862,Computing with Artificial Intelligence Machine Learning,Technological University Dublin,262.0,,262.0,226.0,226.0,226.0,
TU863,Digital Forensics and Cyber Security,Technological University Dublin,282.0,,282.0,280.0,,280.0,
TU864,DNA and Forensic Analysis,Technological University Dublin,500.0,441.0,441.0,400.0,390.0,390.0,
TU865,Cloud Computing,Technological University Dublin,235.0,,235.0,226.0,,226.0,
TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,522.0,,522.0,487.0,,487.0,
TU867,Biomedical Science,Technological University Dublin,576.0,566.0,565.0,524.0,,524.0,
TU868,Clinical Measurement Science,Technological University Dublin,542.0,,542.0,510.0,,510.0,
TU869,Environmental Health,Technological University Dublin,387.0,,387.0,336.0,,336.0,
TU870,Human Nutrition and Dietetics,Technological University Dublin,601.0,,600.0,578.0,,578.0,
TU871,Optometry,Technological University Dublin,532.0,,532.0,509.0,,509.0,
TU872,Public Health Nutrition,Technological University Dublin,487.0,,487.0,491.0,,491.0,
TU874,Mathematical Sciences,Technological University Dublin,294.0,294.0,294.0,341.0,,343.0,
TU875,Pharmaceutical Healthcare,Technological University Dublin,451.0,,451.0,400.0,,400.0,
TU876,Pharmaceutical Science,Technological University Dublin,445.0,,445.0,377.0,349.0,349.0,
TU877,Physics Technology,Technological University Dublin,314.0,314.0,314.0,308.0,,308.0,
TU878,Physics with Energy and Environment,Technological University Dublin,339.0,,339.0,337.0,337.0,331.0,
TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,346.0,,346.0,351.0,,351.0,
TU880,Physics with Data Science,Technological University Dublin,412.0,,412.0,578.0,,,
TU881,Food Innovation,Technological University Dublin,309.0,,309.0,318.0,,318.0,
TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,380.0,,380.0,397.0,,397.0,
TU902,Business (options),Technological University Dublin,270.0,,270.0,271.0,,271.0,
TU903,Business and Management,Technological University Dublin,477.0,,477.0,463.0,,463.0,
TU904,Business and Law,Technological University Dublin,462.0,,462.0,462.0,,462.0,
TU905,Economics and Finance,Technological University Dublin,460.0,,460.0,465.0,,465.0,
TU906,Human Resource Management,Technological University Dublin,386.0,377.0,377.0,395.0,,395.0,
TU907,Logistics and Supply Chain Management,Technological University Dublin,300.0,,300.0,300.0,,300.0,
TU910,Accounting,Technological University Dublin,420.0,,420.0,444.0,,444.0,
TU912,Business Analytics,Technological University Dublin,331.0,311.0,311.0,330.0,,330.0,
TU914,Business Computing,Technological University Dublin,322.0,,322.0,324.0,,324.0,
TU917,Law (LLB ) with a Language,Technological University Dublin,356.0,,356.0,342.0,,342.0,
TU918,Law (LLB),Technological University Dublin,463.0,,463.0,451.0,,451.0,
TU919,Advertising and Marketing Communications,Technological University Dublin,219.0,,219.0,228.0,226.0,226.0,
TU920,Digital Marketing,Technological University Dublin,270.0,,270.0,270.0,,270.0,
TU921,Digital Marketing Technologies,Technological University Dublin,230.0,,230.0,212.0,212.0,234.0,
TU922,Marketing,Technological University Dublin,412.0,,412.0,418.0,,418.0,
TU924,E-Commerce in Retailing,Technological University Dublin,307.0,,307.0,307.0,,307.0,
TU925,Retail and Services Management,Technological University Dublin,307.0,,307.0,301.0,,301.0,
TU932,Business (options),Technological University Dublin,211.0,,211.0,,,,
TU933,Accounting and Finance (campus options),Technological University Dublin,251.0,,251.0,,,,
TU935,Sports Management and Coaching,Technological University Dublin,300.0,,300.0,300.0,,300.0,
TU936,Sports Science and Health,Technological University Dublin,484.0,,484.0,410.0,391.0,391.0,
TU941,Botanical Cuisine,Technological University Dublin,311.0,,311.0,249.0,,249.0,
TU942,Culinary Arts,Technological University Dublin,252.0,,252.0,212.0,212.0,212.0,
TU943,Culinary Entrepreneurship,Technological University Dublin,261.0,,261.0,278.0,,279.0,
TU944,Culinary Science,Technological University Dublin,336.0,,336.0,316.0,,316.0,
TU951,International Hospitality and Tourism Management,Technological University Dublin,244.0,,244.0,184.0,184.0,200.0,
TU952,International Hospitality Management,Technological University Dublin,309.0,,309.0,300.0,,306.0,
TU953,Tourism and Digital Marketing,Technological University Dublin,308.0,,308.0,290.0,,290.0,
TU954,Event Management,Technological University Dublin,326.0,,326.0,356.0,,356.0,
TU955,Sports and Leisure Management,Technological University Dublin,275.0,,275.0,217.0,317.0,217.0,
TU961,Commercial Modern Music (BIMM - assessment/audition),Technological University Dublin,536.0,536.0,536.0,608.0,608.0,608.0,
TU962,"Drama (Performance, audition)",Technological University Dublin,448.0,,448.0,379.0,,379.0,
TU963,Music (audition),Technological University Dublin,364.0,,364.0,416.0,,416.0,
TU965,International Business and Languages,Technological University Dublin,357.0,,357.0,356.0,346.0,346.0,
TU967,Languages and International Tourism,Technological University Dublin,298.0,,298.0,308.0,,326.0,
TU973,Design - Visual Communication (portfolio),Technological University Dublin,700.0,,700.0,717.0,,717.0,
TU974,Fine Art (portfolio),Technological University Dublin,549.0,,549.0,709.0,563.0,563.0,
TU975,Interior Design (portfolio),Technological University Dublin,544.0,,544.0,632.0,,632.0,
TU976,Photography (portfolio),Technological University Dublin,700.0,,700.0,695.0,,695.0,
TU978,Creative Industries and Visual Culture,Technological University Dublin,299.0,,299.0,,,,
TU981,Creative Digital Media,Technological University Dublin,280.0,,280.0,280.0,,282.0,
TU982,Media Production and Digital Arts,Technological University Dublin,369.0,,369.0,320.0,311.0,311.0,
TU983,Film and Broadcasting,Technological University Dublin,462.0,453.0,453.0,456.0,451.0,451.0,
TU984,Game Design,Technological University Dublin,414.0,,414.0,381.0,,381.0,
TU985,Journalism,Technological University Dublin,367.0,,367.0,322.0,,322.0,
TU989,Early Childhood Care and Education (campus options),Technological University Dublin,270.0,,270.0,,,,
TU991,Applied Social Studies in Social Care,Technological University Dublin,326.0,,326.0,325.0,,325.0,
TU992,Community Development and Youth Work,Technological University Dublin,251.0,,251.0,251.0,,253.0,
TU995,Early Childhood Education,Technological University Dublin,378.0,,378.0,367.0,,367.0,
TU996,Social Care,Technological University Dublin,407.0,,407.0,400.0,,400.0,
TU997,Applied Social Care,Technological University Dublin,320.0,,320.0,310.0,283.0,270.0,
TR002,Music,Trinity College Dublin,508.0,477.0,477.0,435.0,429.0,382.0,414.0
TR003,History,Trinity College Dublin,552.0,543.0,531.0,497.0,493.0,456.0,486.0
TR004,Law,Trinity College Dublin,590.0,589.0,589.0,566.0,565.0,565.0,532.0
TR005,Philosophy,Trinity College Dublin,510.0,497.0,456.0,442.0,,442.0,391.0
TR006,Psychology,Trinity College Dublin,601.0,590.0,578.0,567.0,555.0,555.0,555.0
TR007,Clinical Speech and Language Studies,Trinity College Dublin,564.0,,555.0,529.0,,529.0,499.0
TR009,Music Education,Trinity College Dublin,496.0,486.0,486.0,420.0,,420.0,430.0
TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,613.0,613.0,613.0,589.0,,589.0,566.0
TR016,Deaf Studies,Trinity College Dublin,389.0,,389.0,340.0,,329.0,337.0
TR018,Law and French,Trinity College Dublin,602.0,602.0,600.0,565.0,,565.0,532.0
TR019,Law and German,Trinity College Dublin,577.0,567.0,567.0,543.0,542.0,542.0,523.0
TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,467.0,462.0,419.0,370.0,,370.0,377.0
TR022,Early and Modern Irish,Trinity College Dublin,377.0,,377.0,398.0,,398.0,347.0
TR023,English Studies,Trinity College Dublin,546.0,541.0,533.0,487.0,476.0,474.0,463.0
TR024,European Studies,Trinity College Dublin,566.0,,566.0,544.0,542.0,530.0,520.0
TR025,Drama and Theatre Studies,Trinity College Dublin,543.0,519.0,509.0,564.0,530.0,530.0,489.0
TR028,Ancient and Medieval History and Culture,Trinity College Dublin,498.0,463.0,382.0,342.0,,342.0,339.0
TR031,Mathematics,Trinity College Dublin,579.0,578.0,577.0,531.0,,531.0,566.0
TR032,Engineering,Trinity College Dublin,556.0,555.0,554.0,510.0,509.0,508.0,487.0
TR033,Computer Science,Trinity College Dublin,566.0,549.0,543.0,509.0,,509.0,465.0
TR034,Management Science and Information Systems Studies,Trinity College Dublin,625.0,625.0,625.0,613.0,,613.0,589.0
TR035,Theoretical Physics,Trinity College Dublin,590.0,589.0,589.0,543.0,,543.0,554.0
TR038,Engineering with Management,Trinity College Dublin,589.0,589.0,589.0,532.0,,532.0,499.0
TR039,"Computer Science, Linguistics and a Language",Trinity College Dublin,443.0,,443.0,454.0,424.0,424.0,435.0
TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,520.0,499.0,397.0,466.0,,466.0,485.0
TR041,Religion,Trinity College Dublin,417.0,,417.0,368.0,,368.0,347.0
TR042,Film,Trinity College Dublin,531.0,522.0,518.0,489.0,476.0,466.0,
TR043,History of Art and Architecture,Trinity College Dublin,498.0,486.0,467.0,393.0,354.0,354.0,
TR051,Medicine (HPAT required),Trinity College Dublin,743.0,743.0,743.0,735.0,734.0,734.0,730.0
TR052,Dental Science,Trinity College Dublin,625.0,625.0,625.0,613.0,613.0,613.0,590.0
TR053,Physiotherapy,Trinity College Dublin,590.0,,590.0,566.0,566.0,566.0,533.0
TR054,Occupational Therapy,Trinity College Dublin,578.0,577.0,577.0,533.0,,533.0,500.0
TR055,Radiation Therapy,Trinity College Dublin,577.0,566.0,566.0,543.0,,543.0,510.0
TR056,Human Health and Disease,Trinity College Dublin,601.0,,601.0,565.0,,564.0,543.0
TR060,Biological and Biomedical Sciences,Trinity College Dublin,578.0,577.0,577.0,543.0,543.0,543.0,510.0
TR061,Chemical Sciences,Trinity College Dublin,558.0,554.0,542.0,517.0,510.0,510.0,488.0
TR062,Geography and Geoscience,Trinity College Dublin,495.0,,490.0,473.0,,473.0,435.0
TR063,Physical Sciences,Trinity College Dublin,554.0,543.0,521.0,498.0,498.0,477.0,498.0
TR064,Environmental Science and Engineering,Trinity College Dublin,555.0,,555.0,,,,
TR072,Pharmacy,Trinity College Dublin,613.0,613.0,613.0,590.0,,590.0,555.0
TR080,Global Business,Trinity College Dublin,613.0,,613.0,589.0,,589.0,565.0
TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,577.0,567.0,566.0,543.0,543.0,543.0,518.0
TR084,Social Studies (Social Work),Trinity College Dublin,497.0,487.0,484.0,462.0,,462.0,420.0
TR085,Business Studies and French,Trinity College Dublin,564.0,,564.0,540.0,531.0,521.0,509.0
TR086,Business Studies and German,Trinity College Dublin,530.0,,530.0,509.0,499.0,499.0,474.0
TR087,Business Studies and Russian,Trinity College Dublin,487.0,,487.0,474.0,465.0,456.0,467.0
TR089,Business Studies and Polish,Trinity College Dublin,391.0,,391.0,444.0,424.0,424.0,393.0
TR090,Business Studies and Spanish,Trinity College Dublin,566.0,,566.0,531.0,,531.0,510.0
TR091,General Nursing (Meath and St James`s),Trinity College Dublin,462.0,456.0,454.0,429.0,,429.0,393.0
TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,473.0,,473.0,430.0,429.0,414.0,378.0
TR095,Mental Health Nursing,Trinity College Dublin,442.0,,432.0,408.0,,408.0,358.0
TR097,Intellectual Disability Nursing,Trinity College Dublin,412.0,410.0,401.0,396.0,,378.0,346.0
TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,496.0,,509.0,352.0,,352.0,
TR112,Ancient History and Archaeology/History,Trinity College Dublin,577.0,,577.0,529.0,,529.0,
TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,528.0,,528.0,337.0,,337.0,
TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,507.0,,507.0,337.0,,337.0,
TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,494.0,,494.0,342.0,,342.0,
TR166,Classical Civilisation/English Literature,Trinity College Dublin,552.0,,552.0,498.0,496.0,496.0,
TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,420.0,,420.0,335.0,,335.0,
TR177,Classical Civilisation/Modern Language,Trinity College Dublin,484.0,,484.0,335.0,,335.0,
TR179,Classical Civilisation/Philosophy,Trinity College Dublin,508.0,,521.0,499.0,,479.0,
TR188,Computer Science/Business Studies,Trinity College Dublin,584.0,,584.0,,,,
TR198,Economics/Geography,Trinity College Dublin,968.0,956.0,954.0,534.0,,534.0,
TR202,Economics/History,Trinity College Dublin,601.0,,601.0,534.0,,534.0,
TR207,Economics/Mathematics,Trinity College Dublin,613.0,,613.0,566.0,,566.0,
TR208,Economics/Modern Language,Trinity College Dublin,589.0,,589.0,534.0,,534.0,
TR209,Economics/Philosophy,Trinity College Dublin,588.0,,589.0,534.0,,534.0,
TR212,Economics/Sociology,Trinity College Dublin,589.0,,589.0,534.0,,534.0,
TR214,Social Policy/Economics,Trinity College Dublin,611.0,,611.0,,,,
TR228,Classical Languages/English Literature,Trinity College Dublin,555.0,,555.0,498.0,,498.0,
TR230,Classical Languages/Linguistics,Trinity College Dublin,501.0,,501.0,,,,
TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,613.0,,613.0,349.0,,349.0,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,583.0,,583.0,349.0,,349.0,
TR239,Classical Languages/Modern Language,Trinity College Dublin,543.0,,543.0,349.0,,349.0,
TR240,Computer Science/Geography,Trinity College Dublin,482.0,,482.0,,,,
TR241,Computer Science/Linguistics,Trinity College Dublin,495.0,,495.0,,,,
TR262,English Literature/History,Trinity College Dublin,576.0,,576.0,529.0,,529.0,
TR263,English Literature/History of Art and Architecture,Trinity College Dublin,571.0,,571.0,498.0,497.0,497.0,
TR269,English Literature/Philosophy,Trinity College Dublin,555.0,,555.0,499.0,,495.0,
TR272,English Literature/Sociology,Trinity College Dublin,553.0,,553.0,498.0,,498.0,
TR276,English Literature/Drama Studies,Trinity College Dublin,555.0,,555.0,498.0,,,
TR277,English Literature/Modern Language,Trinity College Dublin,554.0,,554.0,498.0,495.0,489.0,
TR311,Film/Drama Studies,Trinity College Dublin,578.0,,578.0,521.0,,,
TR312,Film/English Literature,Trinity College Dublin,576.0,,576.0,521.0,,521.0,
TR320,Film/Music,Trinity College Dublin,584.0,,584.0,521.0,,521.0,
TR322,Geography/History,Trinity College Dublin,578.0,,613.0,529.0,,529.0,
TR323,Drama Studies/Modern Language,Trinity College Dublin,495.0,,495.0,473.0,,,
TR324,Film/Modern Language,Trinity College Dublin,577.0,,577.0,521.0,,521.0,
TR325,Film/History,Trinity College Dublin,578.0,,613.0,529.0,,529.0,
TR326,Geography/Modern Language,Trinity College Dublin,451.0,,451.0,352.0,,352.0,
TR328,Political Science/Geography,Trinity College Dublin,564.0,,564.0,,,,
TR332,Geography/Sociology,Trinity College Dublin,522.0,,522.0,498.0,496.0,496.0,
TR443,History/History of Art and Architecture,Trinity College Dublin,581.0,,581.0,529.0,,529.0,
TR447,History/Modern Language,Trinity College Dublin,576.0,,576.0,529.0,,529.0,
TR449,History/Philosophy,Trinity College Dublin,579.0,,579.0,529.0,,529.0,
TR454,History/Religion,Trinity College Dublin,,,,529.0,,529.0,
TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,451.0,,451.0,334.0,,334.0,
TR457,History/Political Science,Trinity College Dublin,576.0,,576.0,,,,
TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,509.0,,519.0,499.0,,485.0,
TR482,Sociology/History of Art and Architecture,Trinity College Dublin,522.0,,522.0,,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,543.0,,543.0,337.0,,337.0,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,544.0,,544.0,335.0,,335.0,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,576.0,,576.0,529.0,,529.0,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,590.0,,590.0,335.0,,335.0,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",Trinity College Dublin,,,,,,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,999.0,949.0,949.0,342.0,,342.0,
TR580,Business Studies/Law,Trinity College Dublin,625.0,,625.0,,,,
TR581,History/Law,Trinity College Dublin,625.0,,625.0,,,,
TR582,Political Science/Law,Trinity College Dublin,625.0,,625.0,,,,
TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",Trinity College Dublin,,,,,,,
TR588,Linguistics/Modern Language,Trinity College Dublin,456.0,,456.0,,,,
TR589,Linguistics/Philosophy,Trinity College Dublin,520.0,,520.0,,,,
TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,531.0,,531.0,,,,
TR597,Mathematics/Modern Language,Trinity College Dublin,613.0,,613.0,566.0,,566.0,
TR598,Mathematics/Music,Trinity College Dublin,625.0,,625.0,566.0,,566.0,
TR599,Mathematics/Philosophy,Trinity College Dublin,625.0,,625.0,566.0,,566.0,
TR629,Music/Philosophy,Trinity College Dublin,533.0,,533.0,499.0,,499.0,
TR635,Music/Drama Studies,Trinity College Dublin,532.0,,532.0,473.0,,,
TR636,Music/Modern Language,Trinity College Dublin,530.0,,530.0,388.0,,388.0,
TR638,Music/Religion,Trinity College Dublin,,,,388.0,,388.0,
TR639,Philosophy/Modern Language,Trinity College Dublin,520.0,,520.0,499.0,,499.0,
TR662,Philosophy/Sociology,Trinity College Dublin,531.0,,531.0,499.0,,499.0,
TR663,Religion/Classical Civilisation,Trinity College Dublin,418.0,,418.0,342.0,,342.0,
TR664,Religion/English Literature,Trinity College Dublin,968.0,,966.0,498.0,,498.0,
TR665,Religion/History of Art and Architecture,Trinity College Dublin,369.0,,369.0,342.0,,342.0,
TR666,Religion/Modern Language,Trinity College Dublin,,,,,,,
TR667,French/Modern Language,Trinity College Dublin,466.0,,466.0,403.0,,403.0,
TR668,German/Modern Language,Trinity College Dublin,441.0,,441.0,389.0,,389.0,
TR669,Irish/Modern Language,Trinity College Dublin,464.0,,464.0,368.0,,368.0,
TR670,Italian/Modern Language,Trinity College Dublin,462.0,,462.0,381.0,,381.0,
TR671,Russian/Modern Language,Trinity College Dublin,501.0,,501.0,332.0,,332.0,
TR672,Spanish/Modern Language,Trinity College Dublin,486.0,,486.0,336.0,,336.0,
TR756,Sociology/Modern Language,Trinity College Dublin,522.0,,522.0,498.0,495.0,495.0,
TR757,Modern Language/Social Policy,Trinity College Dublin,555.0,,555.0,,,,
TR758,Social Policy/Political Science,Trinity College Dublin,566.0,,566.0,,,,
TR759,Sociology/Social Policy,Trinity College Dublin,554.0,,554.0,,,,
TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,531.0,,529.0,511.0,510.0,499.0,476.0
TR913,Midwifery,Trinity College Dublin,521.0,,520.0,478.0,477.0,473.0,423.0
DN100,Architecture,University College Dublin (NUI),555.0,,553.0,510.0,,510.0,473.0
DN120,Landscape Architecture,University College Dublin (NUI),463.0,435.0,430.0,407.0,,407.0,353.0
DN130,City Planning and Environmental Policy,University College Dublin (NUI),445.0,424.0,420.0,407.0,400.0,390.0,367.0
DN150,Engineering (Common Entry),University College Dublin (NUI),565.0,,556.0,531.0,521.0,520.0,511.0
DN200,Science (options),University College Dublin (NUI),577.0,567.0,566.0,533.0,,533.0,521.0
DN201,Computer Science (Common Entry),University College Dublin (NUI),554.0,549.0,542.0,510.0,,510.0,488.0
DN230,Actuarial and Financial Studies,University College Dublin (NUI),613.0,613.0,613.0,601.0,,601.0,577.0
DN240,Sustainability,University College Dublin (NUI),510.0,,506.0,440.0,,440.0,
DN250,Agricultural Science (options),University College Dublin (NUI),454.0,444.0,440.0,456.0,455.0,453.0,420.0
DN261,Food Science,University College Dublin (NUI),531.0,,522.0,477.0,,476.0,434.0
DN262,Human Nutrition,University College Dublin (NUI),566.0,,566.0,531.0,,531.0,493.0
DN300,Veterinary Medicine - Undergraduate Entry,University College Dublin (NUI),601.0,,601.0,589.0,,589.0,567.0
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),University College Dublin (NUI),,,,,,,
DN310,Veterinary Nursing,University College Dublin (NUI),521.0,509.0,486.0,478.0,477.0,466.0,441.0
DN400,Medicine - Undergraduate Entry (HPAT required),University College Dublin (NUI),743.0,,743.0,737.0,736.0,736.0,735.0
