,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
354,DC193,Mechatronic Engineering,Dublin City University,490,,490
355,DC194,Sustainable Systems and Energy,Dublin City University,476,,488
356,DC195,Mechanical and Manufacturing Engineering,Dublin City University,500,,500
357,DC197,Biomedical Engineering,Dublin City University,510,,510
358,DC200,Common Entry into Engineering (Undenominated Entry),Dublin City University,511,510,510
359,DC202,Sport Science and Health,Dublin City University,511,,511
360,DC203,Science Education,Dublin City University,462,,462
361,DC204,Athletic Therapy and Training,Dublin City University,558,,558
362,DC205,Physical Education with Biology,Dublin City University,565,,565
363,DC206,Physical Education with Mathematics,Dublin City University,521,,521
364,DC207,Psychology and Mathematics,Dublin City University,521,,521
365,DC208,Psychology,Dublin City University,565,,565
366,DC209,Health and Society,Dublin City University,477,,477
367,DC210,Psychology and Disruptive Technologies,Dublin City University,506,,506
368,DC215,General Nursing,Dublin City University,456,,456
369,DC216,Mental Health Nursing,Dublin City University,420,,420
370,DC217,Intellectual Disability Nursing,Dublin City University,382,,382
371,DC218,Children`s and General Nursing (Integrated),Dublin City University,521,,521
372,DC230,"Economics, Politics and Law",Dublin City University,431,,431
373,DC231,International Relations,Dublin City University,398,,399
374,DC232,Law and Society (BCL),Dublin City University,469,,469
375,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),Dublin City University,302,,302
376,DC238,Social Sciences and Cultural Innovation,Dublin City University,387,,387
377,DC240,"Marketing, Innovation and Technology",Dublin City University,499,,499
378,DC241,Digital Business and Innovation,Dublin City University,509,,509
379,DC291,Arts (Joint Honours) - Media Studies,Dublin City University,350,,350
380,DC292,Arts (Joint Honours) - Law,Dublin City University,400,,400
381,DC293,Arts (Joint Honours) - International Languages,Dublin City University,379,,379
382,DC294,Climate and Environmental Sustainability,Dublin City University,475,,475
383,DC295,Arts (Joint Honours) - Politics,Dublin City University,349,,349
385,DL822,Arts Management,"Dun Laoghaire Institute of Art, Design and Technology",254,,254
386,DL823,Business Management,"Dun Laoghaire Institute of Art, Design and Technology",220,,220
387,DL825,Applied Psychology,"Dun Laoghaire Institute of Art, Design and Technology",418,413,413
388,DL826,Graphic Design,"Dun Laoghaire Institute of Art, Design and Technology",591,,591
389,DL827,Art,"Dun Laoghaire Institute of Art, Design and Technology",574,,574
390,DL832,Animation,"Dun Laoghaire Institute of Art, Design and Technology",989,,989
391,DL833,Photography and Visual Media,"Dun Laoghaire Institute of Art, Design and Technology",671,671,665
392,DL836,Creative Computing,"Dun Laoghaire Institute of Art, Design and Technology",235,,235
393,DL837,New Media Studies,"Dun Laoghaire Institute of Art, Design and Technology",298,293,293
394,DL838,Creative Music Production,"Dun Laoghaire Institute of Art, Design and Technology",713,,713
395,DL839,Interaction and User Experience Design,"Dun Laoghaire Institute of Art, Design and Technology",757,,757
396,DL840,Digital Marketing,"Dun Laoghaire Institute of Art, Design and Technology",210,,210
397,DL841,English and Equality Studies,"Dun Laoghaire Institute of Art, Design and Technology",277,277,277
398,DL843,Film,"Dun Laoghaire Institute of Art, Design and Technology",987,874,874
399,DL844,Television,"Dun Laoghaire Institute of Art, Design and Technology",566,,566
400,DL845,Design for Film (degree options),"Dun Laoghaire Institute of Art, Design and Technology",628,,630
401,GC200,Business,Griffith College,269,242,242
402,GC201,Accounting and Finance,Griffith College,260,226,226
403,GC230,Computing Science,Griffith College,300,289,289
404,GC250,Communications and Media Production,Griffith College,,,
405,GC300,Business,Griffith College,264,264,264
406,GC301,Accounting and Finance,Griffith College,,251,251
407,GC302,Business - HRM,Griffith College,377,377,329
408,GC307,Business (Marketing),Griffith College,289,270,270
410,GC400,Business,Griffith College,250,228,228
411,GC401,Accounting and Finance,Griffith College,242,242,242
412,GC402,Business (HRM),Griffith College,,,
413,GC403,Law,Griffith College,245,242,242
414,GC407,Business (Marketing),Griffith College,264,264,176
417,GC430,Computing Science,Griffith College,251,251,251
419,GC450,Communications and Media Production,Griffith College,225,225,225
421,GC462,Design Communication (portfolio),Griffith College,300,,300
426,GC489,Interior Architecture (portfolio),Griffith College,288,274,274
428,GC494,Fashion Design (portfolio),Griffith College,351,,309
430,BY001,Business,IBAT College Dublin,210,210,210
432,ID001,Accounting and Finance,ICD Business School,,,
433,ID002,Business Studies,ICD Business School,,,273
434,AD101,"First Year Art and Design (Common Entry,portfolio)",National College of Art and Design,554,,554
435,AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,538,,538
436,AD103,Textile and Surface Design and Jewellery and Objects (portfolio),National College of Art and Design,505,,505
437,AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,591,,591
438,AD204,Fine Art (portfolio),National College of Art and Design,514,,514
439,AD211,Fashion Design (portfolio),National College of Art and Design,760,679,679
440,AD212,Product Design (portfolio),National College of Art and Design,413,,413
441,AD215,Visual Culture,National College of Art and Design,337,300,300
442,AD217,Illustration (portfolio),National College of Art and Design,738,,738
443,AD222,Interaction Design (portfolio),National College of Art and Design,444,,444
444,NC003,Computing (Degree Award options),National College of Ireland (NCI),271,,271
445,NC005,Human Resource Management,National College of Ireland (NCI),301,,301
446,NC009,Business,National College of Ireland (NCI),300,,300
447,NC010,Psychology,National College of Ireland (NCI),420,,420
448,NC020,Marketing Practice,National College of Ireland (NCI),270,,270
449,NC022,Accounting and Finance,National College of Ireland (NCI),330,,330
450,NC023,Technology Management (with specialisations),National College of Ireland (NCI),266,,266
451,NC030,Early Childhood Education and Care,National College of Ireland (NCI),251,251,251
455,RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,741,740,740
456,RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,589,589,589
